_id,uid,number,bookedBikes,bikes,bikeList,lat,lng,name
30,12499256,15030,0,4,"[{""active"": true, ""number"": ""57495"", ""bikeType"": 71}, {""active"": true, ""number"": ""57283"", ""bikeType"": 71}, {""active"": true, ""number"": ""650901"", ""bikeType"": 71}, {""active"": true, ""number"": ""650682"", ""bikeType"": 71}]",51.099401,16.941016,Mińska / stanisławowska
31,12499294,15031,0,7,"[{""active"": true, ""number"": ""57775"", ""bikeType"": 71}, {""active"": true, ""number"": ""57771"", ""bikeType"": 71}, {""active"": true, ""number"": ""57644"", ""bikeType"": 71}, {""active"": true, ""number"": ""57589"", ""bikeType"": 71}, {""active"": true, ""number"": ""57201"", ""bikeType"": 71}, {""active"": true, ""number"": ""650467"", ""bikeType"": 71}, {""active"": true, ""number"": ""650112"", ""bikeType"": 71}]",51.11236,16.973689,Traktatowa (przystanek kolejowy)
32,12499354,15032,0,8,"[{""active"": true, ""number"": ""57372"", ""bikeType"": 71}, {""active"": true, ""number"": ""650759"", ""bikeType"": 71}, {""active"": true, ""number"": ""650495"", ""bikeType"": 71}, {""active"": true, ""number"": ""650332"", ""bikeType"": 71}, {""active"": true, ""number"": ""650319"", ""bikeType"": 71}, {""active"": true, ""number"": ""650300"", ""bikeType"": 71}, {""active"": true, ""number"": ""650257"", ""bikeType"": 71}, {""active"": true, ""number"": ""650126"", ""bikeType"": 71}]",51.110274,17.034912,Wita Stwosza / Szewska
33,12499378,15033,0,5,"[{""active"": true, ""number"": ""57793"", ""bikeType"": 71}, {""active"": true, ""number"": ""57594"", ""bikeType"": 71}, {""active"": true, ""number"": ""57309"", ""bikeType"": 71}, {""active"": true, ""number"": ""650948"", ""bikeType"": 71}, {""active"": true, ""number"": ""650033"", ""bikeType"": 71}]",51.103354,17.030704,Plac Kościuszki (Renoma)
34,12499401,15034,0,10,"[{""active"": true, ""number"": ""57923"", ""bikeType"": 71}, {""active"": true, ""number"": ""57904"", ""bikeType"": 71}, {""active"": true, ""number"": ""57882"", ""bikeType"": 71}, {""active"": true, ""number"": ""57638"", ""bikeType"": 71}, {""active"": true, ""number"": ""57367"", ""bikeType"": 71}, {""active"": true, ""number"": ""57130"", ""bikeType"": 71}, {""active"": true, ""number"": ""57115"", ""bikeType"": 71}, {""active"": true, ""number"": ""650979"", ""bikeType"": 71}, {""active"": true, ""number"": ""650102"", ""bikeType"": 71}, {""active"": true, ""number"": ""650022"", ""bikeType"": 71}]",51.111489,17.020981,Plac Jana Pawła II (Akademia Muzyczna)
43,12500063,15043,0,5,"[{""active"": true, ""number"": ""57765"", ""bikeType"": 71}, {""active"": true, ""number"": ""57187"", ""bikeType"": 71}, {""active"": true, ""number"": ""57147"", ""bikeType"": 71}, {""active"": true, ""number"": ""650379"", ""bikeType"": 71}, {""active"": true, ""number"": ""651203"", ""bikeType"": 71}]",51.115354,16.998732,Stacyjna (Dworzec Mikołajów)
35,12499433,15035,0,15,"[{""active"": true, ""number"": ""57849"", ""bikeType"": 71}, {""active"": true, ""number"": ""57824"", ""bikeType"": 71}, {""active"": true, ""number"": ""57781"", ""bikeType"": 71}, {""active"": true, ""number"": ""57632"", ""bikeType"": 71}, {""active"": true, ""number"": ""57295"", ""bikeType"": 71}, {""active"": true, ""number"": ""57271"", ""bikeType"": 71}, {""active"": true, ""number"": ""650838"", ""bikeType"": 71}, {""active"": true, ""number"": ""650768"", ""bikeType"": 71}, {""active"": true, ""number"": ""650669"", ""bikeType"": 71}, {""active"": true, ""number"": ""650513"", ""bikeType"": 71}, {""active"": true, ""number"": ""650400"", ""bikeType"": 71}, {""active"": true, ""number"": ""650337"", ""bikeType"": 71}, {""active"": true, ""number"": ""650176"", ""bikeType"": 71}, {""active"": true, ""number"": ""651002"", ""bikeType"": 71}, {""active"": true, ""number"": ""651224"", ""bikeType"": 71}]",51.113871,17.034484,Plac Uniwersytecki (UWr)
36,12499462,15036,0,18,"[{""active"": true, ""number"": ""57941"", ""bikeType"": 71}, {""active"": true, ""number"": ""57544"", ""bikeType"": 71}, {""active"": true, ""number"": ""57492"", ""bikeType"": 71}, {""active"": true, ""number"": ""57469"", ""bikeType"": 71}, {""active"": true, ""number"": ""57403"", ""bikeType"": 71}, {""active"": true, ""number"": ""57395"", ""bikeType"": 71}, {""active"": true, ""number"": ""57379"", ""bikeType"": 71}, {""active"": true, ""number"": ""57375"", ""bikeType"": 71}, {""active"": true, ""number"": ""57037"", ""bikeType"": 71}, {""active"": true, ""number"": ""650987"", ""bikeType"": 71}, {""active"": true, ""number"": ""650869"", ""bikeType"": 71}, {""active"": true, ""number"": ""650859"", ""bikeType"": 71}, {""active"": true, ""number"": ""650857"", ""bikeType"": 71}, {""active"": true, ""number"": ""650827"", ""bikeType"": 71}, {""active"": true, ""number"": ""650619"", ""bikeType"": 71}, {""active"": true, ""number"": ""650588"", ""bikeType"": 71}, {""active"": true, ""number"": ""650338"", ""bikeType"": 71}, {""active"": true, ""number"": ""650194"", ""bikeType"": 71}]",51.112440604346,16.988554000854,Fabryczna / Wagonowa
37,12499488,15037,0,5,"[{""active"": true, ""number"": ""650839"", ""bikeType"": 71}, {""active"": true, ""number"": ""650307"", ""bikeType"": 71}, {""active"": true, ""number"": ""650292"", ""bikeType"": 71}, {""active"": true, ""number"": ""650279"", ""bikeType"": 71}, {""active"": true, ""number"": ""651014"", ""bikeType"": 71}]",51.104413,17.022536,Plac Legionów
38,12499528,15038,0,6,"[{""active"": true, ""number"": ""57897"", ""bikeType"": 71}, {""active"": true, ""number"": ""57453"", ""bikeType"": 71}, {""active"": true, ""number"": ""57259"", ""bikeType"": 71}, {""active"": true, ""number"": ""650883"", ""bikeType"": 71}, {""active"": true, ""number"": ""650586"", ""bikeType"": 71}, {""active"": true, ""number"": ""650229"", ""bikeType"": 71}]",51.101322,17.028528,Świdnicka / Piłsudskiego (Hotel Scandic)
